u,v,name,highway,length,geometry_wkt
174822006,6722119699,The Causeway,pedestrian,3.5281207077748196,"LINESTRING (144.9645281 -37.814957, 144.9645145 -37.8149271)"
6722119699,13366204829,The Causeway,pedestrian,47.57678626088367,"LINESTRING (144.9645145 -37.8149271, 144.9643325 -37.8145235)"
13366204829,1327098207,The Causeway,pedestrian,50.195236788370465,"LINESTRING (144.9643325 -37.8145235, 144.9641415 -37.8140974)"
1327098207,6167413266,The Causeway,pedestrian,2.3503640005445225,"LINESTRING (144.9641415 -37.8140974, 144.9641331 -37.8140773)"
597547574,6722119688,Block Place,pedestrian,4.3770842357596615,"LINESTRING (144.9642287 -37.8150446, 144.9642459 -37.8150816)"
6722119688,597547724,Block Place,pedestrian,41.551349158299516,"LINESTRING (144.9642459 -37.8150816, 144.9644048 -37.8154341)"
13893164959,13893164958,Postal Lane,pedestrian,4.897334133538665,"LINESTRING (144.9633856 -37.8132791, 144.9633874 -37.8133232)"
13893164958,13893164984,Postal Lane,pedestrian,13.926052272092074,"LINESTRING (144.9633874 -37.8133232, 144.9634408 -37.8134413)"
13893164984,13893164949,Postal Lane,pedestrian,44.95374844534324,"LINESTRING (144.9634408 -37.8134413, 144.9636171 -37.8138214)"
13893164949,13893164957,Postal Lane,pedestrian,4.341664158914031,"LINESTRING (144.9636171 -37.8138214, 144.9636011 -37.8138584)"
13893164957,13893164956,Postal Lane,pedestrian,1.3351810985890746,"LINESTRING (144.9636011 -37.8138584, 144.9636063 -37.8138697)"
13893164956,1327098219,Postal Lane,pedestrian,9.900179357860148,"LINESTRING (144.9636063 -37.8138697, 144.9636455 -37.8139533)"
596909576,13794345658,Driver Lane,pedestrian,34.7830589203942,"LINESTRING (144.9629488 -37.8127923, 144.9630828 -37.8130871)"
13794345658,6722209690,Driver Lane,pedestrian,2.4868561525587203,"LINESTRING (144.9630828 -37.8130871, 144.9630923 -37.8131082)"
6722209690,596909581,Driver Lane,pedestrian,4.682792432396697,"LINESTRING (144.9630923 -37.8131082, 144.9631103 -37.8131479)"
13794345657,8172338718,Strand Arcade,footway,22.823979167632803,"LINESTRING (144.9626914 -37.8128084, 144.9628976 -37.8126838)"
8172338718,598348995,Strand Arcade,footway,40.25935247687979,"LINESTRING (144.9628976 -37.8126838, 144.9632613 -37.812464)"
598348995,4391665568,Strand Arcade,footway,18.22424848801413,"LINESTRING (144.9632613 -37.812464, 144.9634559 -37.8124081)"
12885890432,12175813196,Menzies Alley,pedestrian,20.57840457839561,"LINESTRING (144.9621292 -37.8105619, 144.9623359 -37.8106484)"
12175813196,176693380,Menzies Alley,pedestrian,9.718252640945886,"LINESTRING (144.9623359 -37.8106484, 144.9624361 -37.8106851)"
176693380,593475866,Menzies Alley,pedestrian,7.43262613831844,"LINESTRING (144.9624361 -37.8106851, 144.9624629 -37.8107486)"
593475866,593475869,Menzies Alley,pedestrian,44.453384042169375,"LINESTRING (144.9624629 -37.8107486, 144.9622537 -37.8111131)"
593475869,6725404976,Menzies Alley,pedestrian,1.9180472626681457,"LINESTRING (144.9622537 -37.8111131, 144.9622593 -37.8111298)"
6725404976,714724462,Menzies Alley,pedestrian,4.3657229547952525,"LINESTRING (144.9622593 -37.8111298, 144.9622721 -37.8111678)"
176693380,176693415,Menzies Place,pedestrian,3.3857035154513477,"LINESTRING (144.9624361 -37.8106851, 144.962471 -37.8106723)"
12925335052,176693480,Knox Lane,pedestrian,18.6525049108035,"LINESTRING (144.9635079 -37.8103072, 144.963706 -37.8102477)"
176693480,11189376860,Knox Lane,pedestrian,3.0277816796442596,"LINESTRING (144.963706 -37.8102477, 144.963696 -37.8102216)"
11189376860,176693522,Knox Lane,pedestrian,3.0277817709257984,"LINESTRING (144.963696 -37.8102216, 144.963686 -37.8101955)"
593476101,176693522,Knox Place,pedestrian,23.333602272614744,"LINESTRING (144.9639382 -37.810131, 144.963686 -37.8101955)"
176693522,176693619,Knox Place,pedestrian,24.66802275898648,"LINESTRING (144.963686 -37.8101955, 144.9634187 -37.810262)"
245533707,13871185398,,footway,2.5572087583773224,"LINESTRING (144.9667247 -37.8127309, 144.9667264 -37.8127539)"
13871185398,6167417961,,footway,33.507094042809975,"LINESTRING (144.9667264 -37.8127539, 144.9668582 -37.8130371)"
13891346679,13891346678,QV Square,pedestrian,6.570019601490864,"LINESTRING (144.9655526 -37.8107969, 144.9654827 -37.8108176)"
13891346678,596918431,QV Square,pedestrian,24.28509198541695,"LINESTRING (144.9654827 -37.8108176, 144.9653853 -37.8106129)"
596918431,245537551,QV Square,pedestrian,1.9933045646367242,"LINESTRING (144.9653853 -37.8106129, 144.9653773 -37.8105961)"
245537551,13893300041,QV Square,pedestrian,1.6304998705192066,"LINESTRING (144.9653773 -37.8105961, 144.9653703 -37.8105825)"
13893300041,13891346700,QV Square,pedestrian,23.304013980781924,"LINESTRING (144.9653703 -37.8105825, 144.9656182 -37.810509)"
13891346700,13893682156,QV Square,pedestrian,4.429565857979142,"LINESTRING (144.9656182 -37.810509, 144.9656654 -37.8104952)"
13893682156,13893682157,QV Square,pedestrian,3.508536642921561,"LINESTRING (144.9656654 -37.8104952, 144.9657028 -37.8104843)"
13893682157,245537567,QV Square,pedestrian,11.540780107508226,"LINESTRING (144.9657028 -37.8104843, 144.9658258 -37.8104484)"
245537567,13882913735,QV Square,pedestrian,21.073001824320883,"LINESTRING (144.9658258 -37.8104484, 144.9659127 -37.8106253)"
13882913735,596918519,QV Square,pedestrian,1.253144956548155,"LINESTRING (144.9659127 -37.8106253, 144.9659176 -37.8106359)"
596918519,13882913732,QV Square,pedestrian,1.9455481747870116,"LINESTRING (144.9659176 -37.8106359, 144.9659254 -37.8106523)"
13882913732,245537602,QV Square,pedestrian,8.771363379714261,"LINESTRING (144.9659254 -37.8106523, 144.9658258 -37.8106512)"
245537602,245537558,QV Square,pedestrian,1.0315504335148058,"LINESTRING (144.9658258 -37.8106512, 144.965815 -37.8106548)"
245537558,13882913738,QV Square,pedestrian,1.2073824270557871,"LINESTRING (144.965815 -37.8106548, 144.9658044 -37.8106617)"
13882913738,13882913739,QV Square,pedestrian,3.1426956122361434,"LINESTRING (144.9658044 -37.8106617, 144.9657829 -37.8106843)"
13882913739,13882913740,QV Square,pedestrian,6.779104835028402,"LINESTRING (144.9657829 -37.8106843, 144.9657157 -37.8107141)"
13882913740,13882913741,QV Square,pedestrian,8.8832791473765,"LINESTRING (144.9657157 -37.8107141, 144.9656149 -37.8107109)"
